category_code,category_description
AUTO,Automobile
COMM,E-commerce
CULTR,Culture
DATE,Online dating
ECON,Economics
ENV,Environment
FILE,File-sharing
GAME,Gaming
GOVT,Government
GRP,Social networking
HOST,Hosting and blogging platforms
HUMR,Human rights issues
IGO,Intergovernmental organizations
LGBT,LGBT
MISC,Miscellaneous content
MMED,Media sharing
NEWS,News media
POLR,Political criticism
PUBH,Public health
REL,Religion
SPORT,Sports
SRCH,Portal and search engines
TRAV,Travel
XED,Sex education
